,Total Generation,Total Generation Cost,Total Generation GHG Cost,Beaver Generation,Beaver Generation Cost,Beaver Generation GHG Cost,Beaver Generation Cost per MWh,Otter Generation,Otter Generation Cost,Otter Generation GHG Cost,Otter Generation Cost per MWh,Sea Lion Generation,Sea Lion Generation Cost,Sea Lion Generation GHG Cost,Sea Lion Generation Cost per MWh,Platypus Generation,Platypus Generation Cost,Platypus Generation GHG Cost,Platypus Generation Cost per MWh,Carty Generation,Carty Generation Cost,Carty Generation GHG Cost,Carty Generation Cost per MWh,Hoover Generation,Hoover Generation Cost,Hoover Generation GHG Cost,Hoover Generation Cost per MWh,Peaker Generation,Peaker Generation Cost,Peaker Generation GHG Cost,Peaker Generation Cost per MWh,Trusty Generation,Trusty Generation Cost,Trusty Generation GHG Cost,Trusty Generation Cost per MWh,Tetchy Generation,Tetchy Generation Cost,Tetchy Generation GHG Cost,Tetchy Generation Cost per MWh
2015-07-01 11:00:00,996.81173,19797.888787199998,3904.283435700001,0.0,0.0,0.0,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,230.81257,6610.4720048,1405.6485513000002,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,195.99916,5417.4167824,1193.6348844000001,27.64,120.0,240.0,0.0,2.0
2015-07-01 12:00:00,1005.83357,20052.273444799997,3959.2264413000003,0.0,0.0,0.0,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,235.83357,6754.2734448,1436.2264413000003,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-01 13:00:00,972.65379,19102.0045456,3757.1615811,0.0,0.0,0.0,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,202.65379,5804.0045456,1234.1615811000001,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-01 14:00:00,1080.057712,22297.510755119998,4452.49287822,47.403922,1477.10620952,329.93129712,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,262.65379,7522.4045456,1599.5615811000002,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-01 15:00:00,923.2008699999999,17735.125836799998,3455.9932983000003,0.0,0.0,0.0,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,202.65379,5804.0045456,1234.1615811000001,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,150.54708,4161.1212912,916.8317172000001,27.64,120.0,240.0,0.0,2.0
2015-07-01 16:00:00,965.81106,18906.0287584,3715.4893554,0.0,0.0,0.0,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,195.81106,5608.0287584,1192.4893554,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-01 17:00:00,985.50322,19470.0122208,3835.4146098,0.0,0.0,0.0,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,215.50322,6172.0122208,1312.4146098,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-01 18:00:00,915.451,17473.768859999996,3408.796590000001,0.0,0.0,0.0,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,155.50322,4453.6122208,947.0146098000001,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,189.94778,5250.1566391999995,1156.7819802000001,27.64,120.0,240.0,0.0,2.0
2015-07-01 19:00:00,1007.316516,20149.71452416,3987.235149960001,21.813296,679.7023033600001,151.82054016,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,215.50322,6172.0122208,1312.4146098,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-01 20:00:00,914.64367,17451.454258799997,3403.8799503000005,0.0,0.0,0.0,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,155.50322,4453.6122208,947.0146098000001,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,189.14045,5227.842038,1151.8653405,27.64,120.0,240.0,0.0,2.0
2015-07-01 21:00:00,1000.126354,19925.66907624,3937.19162244,14.623134,455.65685544,101.77701264,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,215.50322,6172.0122208,1312.4146098,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-01 22:00:00,890.2064300000001,16776.0089452,3255.0571587000004,0.0,0.0,0.0,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,155.50322,4453.6122208,947.0146098000001,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,164.70321,4552.3967244000005,1003.0425489000002,27.64,120.0,240.0,0.0,2.0
2015-07-01 23:00:00,939.99166,18166.561142399998,3558.249209400001,0.0,0.0,0.0,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,169.99166,4868.5611424,1035.2492094000002,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-02 00:00:00,976.11751,19201.2054864,3778.255635900001,0.0,0.0,0.0,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,206.11751,5903.2054864,1255.2556359000002,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-02 01:00:00,991.4964,19641.656896,3871.9130760000007,0.0,0.0,0.0,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,221.4964,6343.6568959999995,1348.913076,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-02 02:00:00,979.7761800000001,19305.9897952,3800.5369362,0.0,0.0,0.0,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,209.77618,6007.9897952,1277.5369362000001,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-02 03:00:00,859.6127000000001,15924.671208,3068.7413430000006,0.0,0.0,0.0,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,149.77618,4289.5897952000005,912.1369362000002,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,139.83652,3865.0814128,851.6044068000001,27.64,120.0,240.0,0.0,2.0
2015-07-02 04:00:00,1029.4014280000001,20852.312522879998,4145.928662280001,49.625248,1546.32272768,345.39172608,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,209.77618,6007.9897952,1277.5369362000001,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-02 05:00:00,899.9973900000001,17040.9040396,3314.684105100001,0.0,0.0,0.0,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,149.77618,4289.5897952000005,912.1369362000002,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,180.22121,4981.3142444000005,1097.5471689000003,27.64,120.0,240.0,0.0,2.0
2015-07-02 06:00:00,983.389304,19418.57473904,3825.6842792400003,3.613124,112.58494384,25.14734304,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,209.77618,6007.9897952,1277.5369362000001,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-02 07:00:00,1047.276576,21258.102134560002,4218.1396923600005,7.500396,233.71233936000002,52.20275616,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,269.77618,7726.389795200001,1642.9369362000002,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-02 08:00:00,985.9718,19483.432352,3838.2682620000005,0.0,0.0,0.0,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,215.9718,6185.432352,1315.2682620000003,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-02 09:00:00,860.41914,15953.156829599999,3073.6525626000002,0.0,0.0,0.0,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,155.9718,4467.032352,949.8682620000001,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,134.44734,3716.1244776,818.7843006,27.64,120.0,240.0,0.0,2.0
2015-07-02 10:00:00,928.0647,17824.973008,3485.614023,0.0,0.0,0.0,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,158.0647,4526.973008,962.6140230000001,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-02 11:00:00,1061.431888,21829.49458608,4361.64965148,73.367188,2286.12157808,510.63562848,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,218.0647,6245.373008,1328.0140230000002,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-02 12:00:00,931.39984,17920.4914176,3505.9250256000005,0.0,0.0,0.0,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,161.39984,4622.4914176,982.9250256000001,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-02 13:00:00,1093.4131499999999,22817.6261572,4581.337663200001,102.01331,3178.7347396,710.0126376000001,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,221.39984,6340.891417600001,1348.3250256000003,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-02 14:00:00,1073.8845019999999,22057.91348552,4393.218273120001,22.484662,700.6220679200001,156.49324752,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,281.39984,8059.2914175999995,1713.7250256000002,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-02 15:00:00,952.14265,18553.822686,3632.2487385000004,0.0,0.0,0.0,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,221.39984,6340.891417600001,1348.3250256000003,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,160.74281,4442.9312684,978.9237129,27.64,120.0,240.0,0.0,2.0
2015-07-02 16:00:00,986.6157499999999,19501.875079999998,3842.189917500001,0.0,0.0,0.0,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,216.61575,6203.87508,1319.1899175,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-02 17:00:00,1054.225847,21457.405702519998,4260.556192620001,7.610097,237.13062252,52.96627512,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,276.61575,7922.27508,1684.5899175000002,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-02 18:00:00,975.10501,19183.7182264,3772.0895109000003,0.0,0.0,0.0,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,216.61575,6203.87508,1319.1899175,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,188.48926,5209.8431464000005,1147.8995934000002,27.64,120.0,240.0,0.0,2.0
2015-07-02 19:00:00,1059.944581,21635.60145396,4300.35858126,13.328831,415.32637395999996,92.76866376,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,276.61575,7922.27508,1684.5899175000002,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-02 20:00:00,998.81936,19851.3864704,3916.5099024,0.0,0.0,0.0,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,228.81936,6553.3864704,1393.5099024,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-02 21:00:00,982.39635,19381.031464,3816.4937715000005,0.0,0.0,0.0,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,212.39635,6083.031464000001,1293.4937715000003,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-02 22:00:00,981.88591,19366.4124624,3813.385191900001,0.0,0.0,0.0,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,211.88591,6068.4124624,1290.3851919,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-02 23:00:00,1085.516306,22444.33560176,4482.452748060001,43.630396,1359.52313936,303.66755616,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,271.88591,7786.812462400001,1655.7851919000004,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-03 00:00:00,788.715909,13881.187724439998,2653.2627266400004,18.715909,583.18772444,130.26272664,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,0.0,0.0,0.0,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-03 01:00:00,1153.787519,30588.7447403,7237.9528323,138.71591,4322.387755600001,965.4627336000001,31.16,50.0,2911.2499999999995,911.2499999999999,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,10.0,532.0,162.0,53.2,100.0,2864.0,609.0000000000001,28.64,200.0,1000.0,0.0,5.0,85.071609,6661.106984699999,2067.2400987,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-03 02:00:00,1004.931846,20215.276321359997,4018.9256481600005,74.931846,2334.87632136,521.52564816,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,160.0,4582.4,974.4000000000001,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-03 03:00:00,1020.36829,20545.075916399997,4074.1632984000007,30.36829,946.2759163999999,211.3632984,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,220.0,6300.8,1339.8000000000002,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-03 04:00:00,1021.28213,20494.7202032,4053.3081717000005,0.0,0.0,0.0,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,251.28213,7196.7202032,1530.3081717000002,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-03 05:00:00,912.9907400000001,17441.5461836,3393.8136066000006,0.0,0.0,0.0,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,191.28213,5478.3202032,1164.9081717000001,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,151.70861,4193.2259804,923.9054349,27.64,120.0,240.0,0.0,2.0
2015-07-03 06:00:00,953.60714,18556.508489599997,3641.1674826000008,0.0,0.0,0.0,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,183.60714,5258.5084896,1118.1674826,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-03 07:00:00,963.93262,18852.2302368,3704.0496558000004,0.0,0.0,0.0,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,193.93262,5554.2302368,1181.0496558,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-03 08:00:00,1022.42574,20527.4731936,4060.2727566000003,0.0,0.0,0.0,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,252.42574,7229.4731936,1537.2727566,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-03 09:00:00,781.474341,13655.54046556,2602.8614133600004,11.474341,357.54046556000003,79.86141336,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,0.0,0.0,0.0,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-03 10:00:00,957.944112,18902.338529919998,3744.0910195200004,87.944112,2740.33852992,612.09101952,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,100.0,2864.0,609.0000000000001,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-03 11:00:00,977.3070740000001,19354.488425839998,3826.65723504,47.307074,1474.08842584,329.25723504,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,160.0,4582.4,974.4000000000001,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
2015-07-03 12:00:00,899.6960799999999,17012.495731199997,3312.8491272,0.0,0.0,0.0,31.16,0.0,0.0,0.0,58.224999999999994,250.0,6529.999999999999,1305.0000000000002,26.119999999999997,0.0,0.0,0.0,53.2,129.69608,3714.4957312,789.8491272000001,28.64,200.0,1000.0,0.0,5.0,0.0,0.0,0.0,78.3,200.0,5528.0,1218.0000000000002,27.64,120.0,240.0,0.0,2.0
